crack_start,crack_tip,load_location,load_condition,bottom_surface_deflections
"(3.607247848011608, 0)","(3.607247848011608, 0.2843462009888933)",[8.44321827 1.        ],[    0 -2925],"[ 0.         -0.00240495 -0.00480186 -0.0071827  -0.00953944 -0.01186406
 -0.01414853 -0.01638483 -0.01856475 -0.02067964 -0.02271966 -0.0246736
 -0.02653722 -0.02833536 -0.03015427 -0.03134743 -0.03231988 -0.03317493
 -0.03391596 -0.03450687 -0.03493918 -0.03520847 -0.03530837 -0.03523141
 -0.03496968 -0.03451514 -0.03385974 -0.03299547 -0.03191443 -0.03060884
 -0.02907077 -0.02729077 -0.02525477 -0.02294084 -0.02032454 -0.01740307
 -0.01421674 -0.01082746 -0.00729469 -0.00366994  0.        ]"
"(7.419773128014989, 0)","(7.419773128014989, 0.42996178078887404)",[5.29022303 1.        ],[    0 -4320],"[ 0.         -0.00880636 -0.01757513 -0.02626874 -0.03484962 -0.04328017
 -0.05152281 -0.05953998 -0.06729408 -0.07474753 -0.08186276 -0.08860218
 -0.09492821 -0.10080328 -0.10618987 -0.1110506  -0.11534827 -0.11904545
 -0.12210249 -0.12447291 -0.12609866 -0.126918   -0.12690098 -0.12608045
 -0.12451858 -0.12226941 -0.11937739 -0.11591675 -0.11206378 -0.10836486
 -0.10053908 -0.09172467 -0.08246165 -0.07291658 -0.0630689  -0.05294908
 -0.04261087 -0.03210358 -0.0214714  -0.01075639  0.        ]"
"(5.780117549305638, 0)","(5.780117549305638, 0.2822762237486419)",[4.17361784 1.        ],[    0 -1236],"[ 0.         -0.00261602 -0.00521903 -0.007796   -0.01033393 -0.01281979
 -0.01524057 -0.01758326 -0.01983484 -0.02198229 -0.02401261 -0.02591286
 -0.02767012 -0.02927142 -0.03070317 -0.03194984 -0.03299252 -0.03381101
 -0.03439362 -0.03474512 -0.03487782 -0.03481487 -0.03461835 -0.03443012
 -0.0333286  -0.03194886 -0.0304576  -0.02886176 -0.02713331 -0.02528145
 -0.02332065 -0.02126275 -0.01911817 -0.01689669 -0.01460792 -0.01226145
 -0.00986688 -0.00743383 -0.00497192 -0.00249077  0.        ]"
"(5.248021822644519, 0)","(5.248021822644519, 0.1722126495567514)",[5.71807762 1.        ],[    0 -1661],"[ 0.         -0.00311331 -0.00621368 -0.00928821 -0.01232394 -0.01530796
 -0.01822734 -0.02106915 -0.02382046 -0.02646835 -0.02899988 -0.03140216
 -0.03366228 -0.03576732 -0.03770416 -0.03945893 -0.04101663 -0.04235715
 -0.04346714 -0.04440504 -0.04530634 -0.04526558 -0.04476707 -0.04405325
 -0.04306143 -0.04175173 -0.04015921 -0.03831467 -0.03624131 -0.03395828
 -0.03148317 -0.02883331 -0.02602608 -0.02307892 -0.02000932 -0.01683477
 -0.01357277 -0.01024079 -0.00685635 -0.00343692  0.        ]"
"(6.523126408481169, 0)","(6.523126408481169, 0.44041295314281936)",[7.95359459 1.        ],[    0 -1833],"[ 0.         -0.00222569 -0.00444466 -0.00665021 -0.00883562 -0.01099417
 -0.01311915 -0.01520384 -0.01724154 -0.01922553 -0.02114909 -0.02300551
 -0.02478808 -0.02649008 -0.0281048  -0.02962552 -0.03104555 -0.03235818
 -0.03355675 -0.03463449 -0.03558436 -0.03639833 -0.0370665  -0.03757912
 -0.03793951 -0.03819078 -0.03851653 -0.03725723 -0.03556818 -0.03362883
 -0.0315086  -0.02916898 -0.02658856 -0.02376891 -0.02073677 -0.01753035
 -0.01418543 -0.01073262 -0.00719961 -0.00361318  0.        ]"
"(5.370616557925878, 0)","(5.370616557925878, 0.19350141964722217)",[4.88716104 1.        ],[    0 -5382],"[ 0.         -0.01082032 -0.02159136 -0.03226383 -0.04278845 -0.05311593
 -0.063197   -0.07298238 -0.08242276 -0.09146888 -0.10007144 -0.10818119
 -0.11574892 -0.12272552 -0.129062   -0.13470882 -0.1396135  -0.14371702
 -0.14693239 -0.14918754 -0.15067329 -0.15185892 -0.1495765  -0.14580404
 -0.14153328 -0.13659578 -0.13086243 -0.12441059 -0.11730742 -0.10960974
 -0.10136968 -0.09263704 -0.08346104 -0.07389085 -0.0639757  -0.05376485
 -0.04330758 -0.03265318 -0.02185092 -0.0109501   0.        ]"
"(6.409479345850005, 0)","(6.409479345850005, 0.13601452807993752)",[4.61199563 1.        ],[    0 -4983],"[ 0.         -0.00974584 -0.01944148 -0.02903674 -0.03848142 -0.04772533
 -0.05671828 -0.06541007 -0.0737505  -0.08168939 -0.08917656 -0.09616187
 -0.10259539 -0.10842734 -0.1136077  -0.11808391 -0.12179551 -0.12466868
 -0.12662526 -0.1276239  -0.12769474 -0.12690471 -0.12530634 -0.12293021
 -0.12001158 -0.11676662 -0.11183352 -0.10601088 -0.09991363 -0.09336477
 -0.08633016 -0.07887307 -0.07104133 -0.06287974 -0.0544306  -0.04573517
 -0.0368345  -0.0277696  -0.01858151 -0.00931129  0.        ]"
"(6.264089065085742, 0)","(6.264089065085742, 0.18037784189667486)",[4.81539128 1.        ],[    0 -8152],"[ 0.         -0.01609355 -0.03210872 -0.04796713 -0.06359039 -0.07890014
 -0.09381798 -0.10826554 -0.12216442 -0.13543626 -0.14800265 -0.15978525
 -0.17070579 -0.18068627 -0.18964904 -0.197516   -0.20420493 -0.20962076
 -0.21364637 -0.21615683 -0.21708453 -0.21647783 -0.21442238 -0.21103468
 -0.20672363 -0.20209025 -0.19361236 -0.18352017 -0.17291307 -0.16159171
 -0.14942593 -0.13651823 -0.12296    -0.10883089 -0.09420506 -0.07915403
 -0.06374863 -0.04805966 -0.03215797 -0.01611444  0.        ]"
"(7.508979045930626, 0)","(7.508979045930626, 0.3300754975445985)",[4.7026772 1.       ],[    0 -7503],"[ 0.         -0.01490766 -0.02974318 -0.04443442 -0.05890923 -0.07309549
 -0.08692104 -0.10031375 -0.11320147 -0.12551205 -0.13717336 -0.14811327
 -0.15825976 -0.16754103 -0.17588561 -0.18322159 -0.18947324 -0.19455294
 -0.19835289 -0.20075886 -0.20171221 -0.20126483 -0.19952416 -0.19659103
 -0.19254505 -0.18745074 -0.1813614  -0.17432807 -0.16645537 -0.15800981
 -0.14965331 -0.13694309 -0.12308946 -0.10879373 -0.09415409 -0.0790994
 -0.06368489 -0.04799525 -0.03210588 -0.01608548  0.        ]"
"(2.190599677928032, 0)","(2.190599677928032, 0.257841034026238)",[4.64567025 1.        ],[    0 -8111],"[ 0.         -0.01730849 -0.03453813 -0.05160759 -0.06842887 -0.084906
 -0.10097855 -0.11674764 -0.13266652 -0.14512091 -0.1562845  -0.1667042
 -0.17639567 -0.18512075 -0.19279933 -0.19937437 -0.20477345 -0.2089052
 -0.21165376 -0.21289561 -0.21256717 -0.2107244  -0.20748331 -0.20295303
 -0.19722084 -0.19036118 -0.18244435 -0.17354022 -0.16371894 -0.15305096
 -0.14160682 -0.12945708 -0.1166723  -0.10332305 -0.08947988 -0.07521336
 -0.06059404 -0.04569249 -0.03057926 -0.01532491  0.        ]"
