crack_start,crack_tip,load_location,load_condition,bottom_surface_deflections
"(3.292268682137891, 0)","(3.292268682137891, 0.1162129001429614)",[4.8034488 1.       ],[    0 -3563],"[ 0.         -0.00708686 -0.01413946 -0.02112356 -0.0280049  -0.03474929
 -0.04132246 -0.04769005 -0.05381644 -0.05966546 -0.06519448 -0.07035368
 -0.07522644 -0.07995593 -0.08346063 -0.08622253 -0.0886517  -0.09055978
 -0.09183316 -0.09243529 -0.09234361 -0.09158565 -0.09021338 -0.08827488
 -0.08580848 -0.08284683 -0.0794208  -0.07556106 -0.07129843 -0.06666387
 -0.06168836 -0.05640289 -0.05083846 -0.04502607 -0.03899671 -0.03278138
 -0.02641108 -0.01991679 -0.01332952 -0.00668026  0.        ]"
"(2.7909743896766193, 0)","(2.7909743896766193, 0.17243310530630557)",[4.31662411 1.        ],[    0 -3904],"[ 0.         -0.00810709 -0.01617311 -0.02415701 -0.03201769 -0.0397137
 -0.04720229 -0.05443864 -0.06136913 -0.06795052 -0.07426199 -0.08053232
 -0.08517123 -0.08900061 -0.09244699 -0.09537599 -0.09763057 -0.09916237
 -0.09994687 -0.10001154 -0.09941018 -0.09819201 -0.09639543 -0.09405265
 -0.0911939  -0.0878492  -0.08404876 -0.07982291 -0.07520203 -0.07021651
 -0.06489672 -0.05927307 -0.05337594 -0.04723572 -0.04088279 -0.03434753
 -0.02766035 -0.02085161 -0.01395172 -0.00699105  0.        ]"
"(8.401374055621353, 0)","(8.401374055621353, 0.4732240580705977)",[3.35965779 1.        ],[    0 -1913],"[ 0.         -0.00362377 -0.00722388 -0.0107767  -0.01425857 -0.01764584
 -0.02091491 -0.0240422  -0.02700425 -0.02977745 -0.03233725 -0.03465605
 -0.03670112 -0.03843806 -0.03984667 -0.04093491 -0.04172487 -0.04223705
 -0.04248678 -0.04248636 -0.04224712 -0.04178027 -0.04109711 -0.04020901
 -0.03912735 -0.03786353 -0.03642891 -0.03483471 -0.0330917  -0.03121001
 -0.02920038 -0.02707975 -0.02488249 -0.02271557 -0.01972935 -0.01656052
 -0.01331559 -0.0100303  -0.00670881 -0.00336093  0.        ]"
"(3.0811754706720045, 0)","(3.0811754706720045, 0.23938697454682933)",[1.97179242 1.        ],[    0 -5997],"[ 0.         -0.00986736 -0.01964725 -0.0292524  -0.03859523 -0.04758498
 -0.05612068 -0.06408327 -0.07134352 -0.07780629 -0.08350068 -0.0886671
 -0.09377349 -0.09606116 -0.0973381  -0.09822485 -0.0986689  -0.09855116
 -0.09790233 -0.09676065 -0.09515488 -0.09310951 -0.090647   -0.08778926
 -0.08455817 -0.08097565 -0.07706363 -0.0728441  -0.068339   -0.06357031
 -0.05856    -0.05333003 -0.04790237 -0.04229897 -0.03654182 -0.03065287
 -0.02465409 -0.01856745 -0.01241491 -0.00621844  0.        ]"
"(6.854993494455815, 0)","(6.854993494455815, 0.3715409632816488)",[2.88656793 1.        ],[    0 -4391],"[ 0.         -0.00844154 -0.01682678 -0.02509943 -0.03320321 -0.04108189
 -0.04867939 -0.0559398  -0.06280697 -0.0692225  -0.07512105 -0.08042544
 -0.08505477 -0.0889606  -0.0921592  -0.09469931 -0.09662595 -0.09797229
 -0.09876462 -0.09902696 -0.098783   -0.09805603 -0.0968678  -0.09523661
 -0.09318119 -0.09074578 -0.08804939 -0.0854345  -0.08036838 -0.07468206
 -0.06871976 -0.06256322 -0.05618035 -0.04958799 -0.04281937 -0.03590396
 -0.0288677  -0.0217351  -0.01453024 -0.00727717  0.        ]"
"(5.058939464775365, 0)","(5.058939464775365, 0.24006245773302615)",[4.39759869 1.        ],[    0 -7948],"[ 0.         -0.01689285 -0.03370563 -0.05035831 -0.0667708  -0.08286307
 -0.09855504 -0.11376665 -0.12841785 -0.14242858 -0.15571884 -0.1682088
 -0.17981896 -0.19046996 -0.20008039 -0.20856067 -0.21579787 -0.22163578
 -0.22598773 -0.22918208 -0.23217908 -0.22908582 -0.22384902 -0.21782514
 -0.21091346 -0.20288117 -0.19381194 -0.18380542 -0.17294147 -0.16129086
 -0.14892018 -0.13589481 -0.12228007 -0.10814135 -0.09354412 -0.07855387
 -0.06323611 -0.04765634 -0.03188007 -0.01597278  0.        ]"
"(4.7113024082091135, 0)","(4.7113024082091135, 0.14022482728148986)",[7.62883836 1.        ],[    0 -3719],"[ 0.         -0.00410808 -0.00820085 -0.01226296 -0.01627909 -0.02023393
 -0.02411214 -0.02789841 -0.0315774  -0.03513382 -0.03855235 -0.04181768
 -0.04491442 -0.04782639 -0.05053713 -0.05302608 -0.05526832 -0.0573233
 -0.05928087 -0.06047986 -0.06122765 -0.06178228 -0.06203651 -0.06193711
 -0.06147963 -0.06065214 -0.05944147 -0.05783299 -0.05580969 -0.05334857
 -0.0504166  -0.04697758 -0.04302285 -0.03859854 -0.03377827 -0.02863251
 -0.02322173 -0.01760049 -0.01182145 -0.00593709  0.        ]"
"(7.5752375234174005, 0)","(7.5752375234174005, 0.4511488081399206)",[2.5436749 1.       ],[    0 -1248],"[ 0.         -0.0021792  -0.00434126 -0.00646905 -0.0085455  -0.01055357
 -0.01247616 -0.01429552 -0.01599195 -0.01754236 -0.01892263 -0.02011783
 -0.02113145 -0.02197621 -0.02266374 -0.02320234 -0.02359831 -0.02385734
 -0.02398503 -0.02398703 -0.02386904 -0.02363678 -0.02329597 -0.0228523
 -0.02231138 -0.02167849 -0.02095841 -0.02015633 -0.01928178 -0.01835673
 -0.01745497 -0.01596393 -0.014336   -0.01264453 -0.01091646 -0.00915261
 -0.00735757 -0.00553843 -0.00370182 -0.00185376  0.        ]"
"(5.045808256634366, 0)","(5.045808256634366, 0.2999666725043528)",[7.7911967 1.       ],[    0 -4527],"[ 0.         -0.00549775 -0.01097684 -0.01641863 -0.02180445 -0.02711566
 -0.03233359 -0.0374396  -0.04241503 -0.04724122 -0.05189955 -0.05637138
 -0.06063814 -0.06468115 -0.06848122 -0.07201766 -0.07526577 -0.07819659
 -0.08080478 -0.08318154 -0.08561891 -0.08597957 -0.08562422 -0.0849017
 -0.08382405 -0.08228098 -0.08025282 -0.07773289 -0.0747058  -0.07114547
 -0.06701212 -0.06226168 -0.05688355 -0.05093381 -0.0445021  -0.03767419
 -0.03052367 -0.02311696 -0.01551817 -0.00779117  0.        ]"
"(4.9822329857229715, 0)","(4.9822329857229715, 0.37279691758195255)",[2.08201198 1.        ],[    0 -8485],"[ 0.         -0.01443979 -0.02875579 -0.04282445 -0.05652172 -0.06971922
 -0.08227512 -0.09402478 -0.10479629 -0.1144806  -0.12309363 -0.13071417
 -0.13741351 -0.14323898 -0.14822089 -0.15237794 -0.15572861 -0.1583438
 -0.16045059 -0.16274188 -0.15993078 -0.15578679 -0.15100623 -0.14576458
 -0.13997519 -0.13365364 -0.1268503  -0.11960755 -0.11196031 -0.10394045
 -0.09557896 -0.0869068  -0.07795494 -0.06875446 -0.05933643 -0.04973191
 -0.03997201 -0.03008778 -0.02011032 -0.0100707   0.        ]"
"(2.2944368667307287, 0)","(2.2944368667307287, 0.3078634493560881)",[3.18300514 1.        ],[    0 -8478],"[ 0.         -0.0194016  -0.03869851 -0.05778452 -0.07654868 -0.09486898
 -0.11261582 -0.12972334 -0.14636443 -0.16331697 -0.1739805  -0.18255048
 -0.18981685 -0.1958991  -0.20048931 -0.20360487 -0.20537561 -0.20590891
 -0.20527836 -0.20353967 -0.20074294 -0.19693766 -0.19217379 -0.18650162
 -0.17997159 -0.17263415 -0.16453979 -0.15573896 -0.14628212 -0.13621975
 -0.1256023  -0.11448023 -0.102904   -0.09092408 -0.07859093 -0.06595501
 -0.05306678 -0.0399767  -0.02673523 -0.01339285  0.        ]"
"(3.2669025316179137, 0)","(3.2669025316179137, 0.2483856253516521)",[2.93538111 1.        ],[    0 -3608],"[ 0.         -0.00741193 -0.01477761 -0.02205079 -0.02918528 -0.03613495
 -0.04285372 -0.04929502 -0.0554104  -0.06114519 -0.06643023 -0.07121486
 -0.07558759 -0.07989672 -0.08170934 -0.0826102  -0.08315833 -0.08332265
 -0.08300136 -0.08222184 -0.08101785 -0.07941502 -0.0774353  -0.07509894
 -0.07242572 -0.0694354  -0.06614774 -0.06258256 -0.05875968 -0.05469892
 -0.0504201  -0.04594305 -0.04128759 -0.03647355 -0.03152074 -0.026449
 -0.02127814 -0.01602798 -0.01071836 -0.00536909  0.        ]"
"(5.608618641067882, 0)","(5.608618641067882, 0.21167124495293768)",[2.52454273 1.        ],[    0 -4160],"[ 0.         -0.00724811 -0.01443908 -0.02151585 -0.02842146 -0.03509913
 -0.04149187 -0.04754054 -0.05317941 -0.05833157 -0.06291656 -0.06688469
 -0.07024756 -0.07304757 -0.0753236  -0.07710327 -0.07840721 -0.07925283
 -0.07965454 -0.0796212  -0.07918216 -0.07845977 -0.07770317 -0.07538025
 -0.07250543 -0.06942872 -0.06612444 -0.0625344  -0.05868252 -0.05459681
 -0.05030005 -0.04581267 -0.04115398 -0.03634301 -0.03139875 -0.02634022
 -0.02118646 -0.01595651 -0.01066942 -0.00534423  0.        ]"
"(8.109482099675294, 0)","(8.109482099675294, 0.15642023966976457)",[6.70103729 1.        ],[    0 -2905],"[ 0.         -0.00427355 -0.00852982 -0.0127515  -0.01692131 -0.02102196
 -0.02503615 -0.0289466  -0.03273601 -0.03638709 -0.03988256 -0.04320512
 -0.04633749 -0.04926236 -0.05196245 -0.05442047 -0.05661913 -0.05854113
 -0.06016919 -0.06148601 -0.06247435 -0.06311706 -0.06339712 -0.06329733
 -0.06279904 -0.06187899 -0.06050584 -0.05864496 -0.05628221 -0.05343975
 -0.05017286 -0.04662209 -0.04296019 -0.03825884 -0.03315101 -0.02794274
 -0.02258971 -0.01707626 -0.01144653 -0.00574172  0.        ]"
"(5.994353855050326, 0)","(5.994353855050326, 0.43045539606242456)",[5.61979977 1.        ],[    0 -6557],"[ 0.         -0.01531419 -0.03057435 -0.04572643 -0.06071639 -0.0754902
 -0.08999381 -0.1041732  -0.11797431 -0.13134312 -0.14422558 -0.15656764
 -0.16831529 -0.17941454 -0.1898115  -0.19945241 -0.20828331 -0.21624853
 -0.22328568 -0.22931757 -0.23425921 -0.23809327 -0.24105609 -0.24436897
 -0.23746487 -0.22798898 -0.21724408 -0.20569126 -0.19325092 -0.17996157
 -0.16591932 -0.1512094  -0.13590442 -0.12007165 -0.10377698 -0.08708622
 -0.07006526 -0.05278011 -0.03529682 -0.01768144  0.        ]"
"(2.787115409016018, 0)","(2.787115409016018, 0.2354346109335328)",[5.06941809 1.        ],[    0 -7942],"[ 0.         -0.0164307  -0.03278877 -0.04900161 -0.06499651 -0.08069984
 -0.09603534 -0.1109201  -0.1252578  -0.13898861 -0.15226351 -0.16559852
 -0.17529559 -0.18348507 -0.19090817 -0.19746677 -0.20288791 -0.2071068
 -0.21005722 -0.21163817 -0.21173592 -0.21029267 -0.20736683 -0.20307555
 -0.19752924 -0.19081697 -0.18301527 -0.17419661 -0.16443303 -0.15379687
 -0.14236074 -0.13019735 -0.11737942 -0.10397969 -0.09007087 -0.07572571
 -0.06101692 -0.04601723 -0.03079936 -0.01543604  0.        ]"
"(6.817110870182474, 0)","(6.817110870182474, 0.12410025709999079)",[1.57334034 1.        ],[    0 -9121],"[ 0.         -0.01105438 -0.02196786 -0.03259452 -0.0427737  -0.05232007
 -0.0610405  -0.06880933 -0.07563529 -0.08159455 -0.08675556 -0.09116218
 -0.09484382 -0.09782526 -0.10013075 -0.10178493 -0.1028127  -0.10323911
 -0.10308923 -0.10238815 -0.10116093 -0.09943256 -0.09722706 -0.09456839
 -0.09147512 -0.08796137 -0.08415472 -0.08017028 -0.07529316 -0.06995084
 -0.06447029 -0.05876066 -0.05280767 -0.04664801 -0.04031031 -0.03382157
 -0.02720751 -0.02049328 -0.01370394 -0.00686449  0.        ]"
"(5.124312350153204, 0)","(5.124312350153204, 0.4497400180437727)",[6.67220343 1.        ],[    0 -5932],"[ 0.         -0.0113852  -0.02273509 -0.03401436 -0.04518772 -0.05621984
 -0.06707542 -0.07771915 -0.08811573 -0.09822985 -0.10802625 -0.1174697
 -0.12652501 -0.13515678 -0.14332834 -0.15099903 -0.15812067 -0.1646454
 -0.17057785 -0.17608344 -0.18189553 -0.18129281 -0.17893227 -0.17553416
 -0.17139513 -0.16637469 -0.1603913  -0.15339672 -0.14537923 -0.13640589
 -0.12658412 -0.11601535 -0.10478495 -0.09296901 -0.08064065 -0.06787267
 -0.05473813 -0.04131027 -0.0276624  -0.01386787  0.        ]"
"(7.757720299442289, 0)","(7.757720299442289, 0.3917921754130013)",[6.28491115 1.        ],[    0 -4465],"[ 0.         -0.0077254  -0.01542014 -0.02305355 -0.03059496 -0.03801372
 -0.04527915 -0.05236059 -0.05922739 -0.06584886 -0.07219435 -0.0782332
 -0.08393473 -0.08926829 -0.09420321 -0.09870881 -0.10275444 -0.10630944
 -0.10934321 -0.1118253  -0.11372544 -0.11501313 -0.11565562 -0.11561311
 -0.11483361 -0.1132605  -0.11086768 -0.10768981 -0.1037956  -0.09928825
 -0.09436836 -0.08955637 -0.08115112 -0.07187135 -0.0622382  -0.05236696
 -0.04222688 -0.03185865 -0.02132645 -0.01068903  0.        ]"
"(6.213263022253441, 0)","(6.213263022253441, 0.20436331661454543)",[3.17133369 1.        ],[    0 -1323],"[ 0.         -0.00255641 -0.00509646 -0.0076038  -0.01006208 -0.01245493
 -0.01476604 -0.01697909 -0.01907786 -0.02104604 -0.02286663 -0.02452054
 -0.02598515 -0.02723666 -0.02826111 -0.029064   -0.02966065 -0.03006522
 -0.03028816 -0.03033743 -0.0302193  -0.02993784 -0.02950478 -0.02896605
 -0.0284137  -0.02728561 -0.02595633 -0.02455507 -0.02307268 -0.02148879
 -0.01981308 -0.01805669 -0.01622887 -0.014338   -0.01239204 -0.01039887
 -0.00836634 -0.00630232 -0.00421467 -0.00211127  0.        ]"
"(3.9633203042913636, 0)","(3.9633203042913636, 0.17735480543017257)",[2.63850492 1.        ],[    0 -5641],"[ 0.         -0.01052047 -0.02096603 -0.0312618  -0.04133296 -0.0511049
 -0.06050327 -0.0694534  -0.07787773 -0.08568917 -0.09278341 -0.09904853
 -0.10439913 -0.10885698 -0.11269376 -0.11632679 -0.11738507 -0.11733405
 -0.11689811 -0.11593124 -0.11432414 -0.11212658 -0.10938086 -0.10612133
 -0.10237862 -0.09818155 -0.09355847 -0.0885377  -0.08314762 -0.07741662
 -0.0713731  -0.06504548 -0.05846217 -0.05165158 -0.04464211 -0.03746219
 -0.03014021 -0.02270459 -0.01518375 -0.00760608  0.        ]"
"(5.2281154258836064, 0)","(5.2281154258836064, 0.28643826269996)",[5.4754644 1.       ],[    0 -2696],"[ 0.         -0.005653   -0.01128379 -0.01687014 -0.02238983 -0.02782065
 -0.03314037 -0.03832678 -0.04335766 -0.0482108  -0.05286398 -0.05729505
 -0.06148184 -0.06540213 -0.06903307 -0.07235003 -0.0753237  -0.07791973
 -0.08013171 -0.08206713 -0.08407485 -0.08357435 -0.08218725 -0.08033295
 -0.07807104 -0.07533383 -0.07215965 -0.06859539 -0.06467602 -0.06043089
 -0.0558874  -0.05107254 -0.04601335 -0.04073691 -0.03527039 -0.02964092
 -0.02387568 -0.0180018  -0.01204646 -0.00603681  0.        ]"
"(7.276519095424586, 0)","(7.276519095424586, 0.20820048710887437)",[7.12945379 1.        ],[    0 -7971],"[ 0.         -0.01082278 -0.02160542 -0.03230777 -0.04288968 -0.05331102
 -0.06353163 -0.07351136 -0.08321009 -0.09258765 -0.10160391 -0.11021873
 -0.11839194 -0.12608342 -0.13325301 -0.13986057 -0.14586596 -0.15122902
 -0.15590963 -0.15986765 -0.16306305 -0.16545584 -0.167006   -0.16767245
 -0.16741094 -0.1661677  -0.16386667 -0.16047859 -0.15624794 -0.1519038
 -0.14231111 -0.13080125 -0.11860519 -0.10573503 -0.09205893 -0.07770245
 -0.06280064 -0.04747094 -0.03182335 -0.01596447  0.        ]"
"(5.542605967452122, 0)","(5.542605967452122, 0.2741692518364919)",[5.92455023 1.        ],[    0 -8093],"[ 0.         -0.01572223 -0.03138517 -0.04692954 -0.06229606 -0.07742542
 -0.09225836 -0.10673557 -0.12079778 -0.1343857  -0.14744003 -0.15990152
 -0.17171091 -0.18280905 -0.19313688 -0.20263504 -0.21124241 -0.21889262
 -0.22550558 -0.23098652 -0.23532313 -0.23883735 -0.24255764 -0.23891259
 -0.2326748  -0.22508021 -0.21630726 -0.20616837 -0.19478618 -0.1823078
 -0.16884515 -0.15449356 -0.13934267 -0.12348091 -0.10699685 -0.08997924
 -0.07251698 -0.05469899 -0.03661421 -0.01835157  0.        ]"
"(6.352442013694599, 0)","(6.352442013694599, 0.35502842134787665)",[5.36962605 1.        ],[    0 -8001],"[ 0.         -0.01722782 -0.03438604 -0.05140506 -0.06821526 -0.08474706
 -0.10093085 -0.11669702 -0.13197598 -0.14669812 -0.16079384 -0.17419352
 -0.18682756 -0.19862639 -0.20952052 -0.2194408  -0.22831846 -0.23608435
 -0.24266479 -0.24797145 -0.25188808 -0.25427884 -0.25506825 -0.25439231
 -0.25272229 -0.25134706 -0.24093085 -0.22821001 -0.21444039 -0.19992172
 -0.18452286 -0.16829363 -0.15134469 -0.13377277 -0.11566153 -0.09708927
 -0.07813281 -0.05886882 -0.03937409 -0.01972551  0.        ]"
"(6.311471574371574, 0)","(6.311471574371574, 0.19853868643913591)",[3.88373122 1.        ],[    0 -9103],"[ 0.         -0.01804681 -0.03599359 -0.05374031 -0.07118695 -0.08823348
 -0.10477985 -0.12072604 -0.13597205 -0.15041798 -0.16396423 -0.17651158
 -0.18796029 -0.19820596 -0.2071298  -0.21458853 -0.22043114 -0.22457402
 -0.22706757 -0.22802873 -0.22756385 -0.22575093 -0.22263188 -0.21827947
 -0.21306142 -0.20753952 -0.19840109 -0.18774403 -0.17660262 -0.16478957
 -0.15218247 -0.13887773 -0.12496126 -0.11050796 -0.09558758 -0.08026737
 -0.06461392 -0.04869382 -0.03257369 -0.01632019  0.        ]"
"(3.945454332546143, 0)","(3.945454332546143, 0.16800850094153388)",[7.64827559 1.        ],[    0 -2159],"[ 0.         -0.00244087 -0.00487284 -0.00728702 -0.00967451 -0.01202642
 -0.01433386 -0.01658794 -0.01877979 -0.02090039 -0.02294038 -0.02488977
 -0.02673595 -0.02846963 -0.0301181  -0.03175002 -0.0329002  -0.03381692
 -0.03462837 -0.03529914 -0.03579215 -0.03610277 -0.03622489 -0.0361508
 -0.03587208 -0.03538002 -0.03466591 -0.03372089 -0.03253503 -0.03109498
 -0.02938156 -0.02737379 -0.02506663 -0.02248687 -0.01967723 -0.01667865
 -0.0135262  -0.01025158 -0.00688536 -0.00345798  0.        ]"
"(3.4548836441104553, 0)","(3.4548836441104553, 0.12447495881218433)",[3.3899144 1.       ],[    0 -2807],"[ 0.         -0.00560003 -0.01116665 -0.01666644 -0.02206601 -0.02733199
 -0.03243096 -0.03732945 -0.04199286 -0.04638619 -0.05046795 -0.05418834
 -0.05762319 -0.06090087 -0.0629418  -0.06423427 -0.06521993 -0.06578743
 -0.06590852 -0.06562399 -0.0649583  -0.06393217 -0.0625643  -0.06087269
 -0.05887528 -0.05659001 -0.05403485 -0.05122779 -0.04818682 -0.04492995
 -0.04147515 -0.03784043 -0.03404377 -0.03010317 -0.02603662 -0.02186212
 -0.01759765 -0.01326121 -0.0088708  -0.00444439  0.        ]"
"(4.4473870016754855, 0)","(4.4473870016754855, 0.21501277058271281)",[4.79597346 1.        ],[    0 -8632],"[ 0.         -0.01858348 -0.03708396 -0.05541845 -0.07350394 -0.09125745
 -0.10859599 -0.12543661 -0.14169643 -0.15729265 -0.1721423  -0.18616077
 -0.19925897 -0.21133628 -0.22226877 -0.23200044 -0.24084594 -0.24974296
 -0.2521101  -0.25179435 -0.2501466  -0.24715105 -0.24258332 -0.23658038
 -0.22927491 -0.22076274 -0.2111248  -0.20043665 -0.18877284 -0.17620811
 -0.1628174  -0.14867578 -0.13385833 -0.11844014 -0.10249631 -0.08610193
 -0.06933209 -0.05226189 -0.03496641 -0.01752075  0.        ]"
"(4.629191631798287, 0)","(4.629191631798287, 0.11661895672898967)",[6.29368481 1.        ],[    0 -2094],"[ 0.         -0.00350996 -0.00700554 -0.01047235 -0.01389603 -0.01726217
 -0.02055641 -0.02376437 -0.02687166 -0.02986392 -0.03272679 -0.03544588
 -0.03800677 -0.04039427 -0.04259292 -0.04458344 -0.04634244 -0.04792573
 -0.04941759 -0.05019777 -0.05055487 -0.05073109 -0.05062478 -0.05018169
 -0.0493876  -0.04821944 -0.04666827 -0.04475487 -0.04251504 -0.03998268
 -0.03718606 -0.03415015 -0.03089884 -0.0274559  -0.02384523 -0.02009074
 -0.0162164  -0.01224619 -0.00820408 -0.00411402  0.        ]"
"(6.467202735348078, 0)","(6.467202735348078, 0.15517598597416404)",[3.42617466 1.        ],[    0 -8033],"[ 0.         -0.01553488 -0.03097413 -0.04622212 -0.06118323 -0.07576182
 -0.08986229 -0.10338913 -0.11624709 -0.12834126 -0.13957626 -0.14985262
 -0.15905815 -0.16705902 -0.17371457 -0.17894359 -0.18278323 -0.18533009
 -0.1866739  -0.18688209 -0.1860072  -0.18409472 -0.18117293 -0.17729788
 -0.172754   -0.16797538 -0.16040419 -0.1516604  -0.14254265 -0.13290629
 -0.12265681 -0.11186863 -0.10060812 -0.08893309 -0.07689741 -0.064553
 -0.05195128 -0.03914367 -0.0261816  -0.01311654  0.        ]"
"(4.7319047361736155, 0)","(4.7319047361736155, 0.15143431251007164)",[8.3239513 1.       ],[    0 -5361],"[ 0.         -0.0048206  -0.00962402 -0.01439307 -0.01911058 -0.02375936
 -0.02832223 -0.03278201 -0.03712153 -0.04132362 -0.04537114 -0.04924692
 -0.05293354 -0.05641271 -0.05966474 -0.06266382 -0.06539207 -0.06791701
 -0.07039895 -0.07176426 -0.07259451 -0.07318862 -0.07346656 -0.07334641
 -0.07282079 -0.07187897 -0.07050658 -0.0686877  -0.06640582 -0.06364389
 -0.06038212 -0.05659227 -0.05223164 -0.047253   -0.04164878 -0.03549036
 -0.02888881 -0.02195063 -0.01476786 -0.00742407  0.        ]"
"(4.444145054879105, 0)","(4.444145054879105, 0.15487836492929044)",[6.3942522 1.       ],[    0 -8206],"[ 0.         -0.01345872 -0.02686483 -0.04016575 -0.05330886 -0.06624157
 -0.07891129 -0.09126543 -0.10325146 -0.11481687 -0.12590911 -0.1364749
 -0.1464584  -0.15579981 -0.16442155 -0.17226881 -0.17953321 -0.18667721
 -0.1905929  -0.19295664 -0.1946315  -0.19538508 -0.19497736 -0.19338024
 -0.19054286 -0.18638147 -0.18080042 -0.17376236 -0.1653502  -0.15570752
 -0.14497098 -0.13325514 -0.12066163 -0.10728788 -0.09323084 -0.07858783
 -0.06345639 -0.0479342  -0.03211895 -0.01610832  0.        ]"
"(3.9652777183422603, 0)","(3.9652777183422603, 0.4082172730011302)",[2.3012804 1.       ],[    0 -2018],"[ 0.         -0.00414975 -0.00827089 -0.01233488 -0.01631325 -0.02017743
 -0.02389784 -0.02744171 -0.03077075 -0.03384459 -0.0366366  -0.03914776
 -0.04139464 -0.0434083  -0.04526178 -0.04719286 -0.04724246 -0.04681786
 -0.0461525  -0.04532657 -0.04432044 -0.04313728 -0.04179113 -0.04029394
 -0.03865526 -0.03688365 -0.03498738 -0.03297473 -0.03085399 -0.02863347
 -0.02632147 -0.02392631 -0.02145632 -0.0189198  -0.01632507 -0.01368045
 -0.01099426 -0.0082748  -0.00553039 -0.00276935  0.        ]"
"(7.153384179660532, 0)","(7.153384179660532, 0.3448004855494661)",[5.58913344 1.        ],[    0 -9160],"[ 0.         -0.01784394 -0.03561238 -0.05322985 -0.07062084 -0.08770987
 -0.10442145 -0.12068008 -0.13641028 -0.15153655 -0.16598341 -0.17967535
 -0.19253689 -0.20449252 -0.21546678 -0.22538432 -0.23417008 -0.24174938
 -0.24804707 -0.2529834  -0.25646417 -0.25837015 -0.25857256 -0.257005
 -0.25372336 -0.2488478  -0.24257983 -0.23537085 -0.22833058 -0.21390846
 -0.19750866 -0.18030348 -0.16246118 -0.14384073 -0.12451706 -0.10461571
 -0.0842463  -0.06350706 -0.0424915  -0.0212918   0.        ]"
"(1.52696346419454, 0)","(1.52696346419454, 0.3915832682401646)",[8.46656111 1.        ],[    0 -9205],"[ 0.         -0.00755913 -0.01508898 -0.02256022 -0.02995416 -0.03728885
 -0.04469174 -0.05090618 -0.05673895 -0.06231793 -0.06769302 -0.07281032
 -0.07764037 -0.08216293 -0.08635566 -0.09019425 -0.09365362 -0.09670846
 -0.09933345 -0.10150327 -0.10319264 -0.10437627 -0.10502886 -0.10512513
 -0.10463978 -0.10354753 -0.10182311 -0.09944137 -0.09637746 -0.09260689
 -0.08810468 -0.08284113 -0.07677196 -0.06982813 -0.06193274 -0.05307699
 -0.04338768 -0.03305974 -0.0222802  -0.0112112   0.        ]"
"(3.2217138757672306, 0)","(3.2217138757672306, 0.2528183529103239)",[4.61050703 1.        ],[    0 -1842],"[ 0.         -0.00412118 -0.00822382 -0.01228939 -0.01629937 -0.02023519
 -0.024078   -0.02780801 -0.03140306 -0.03483833 -0.03810247 -0.04124179
 -0.04442505 -0.04637054 -0.0478742  -0.04913757 -0.05016332 -0.0508682
 -0.05122242 -0.05121793 -0.0508699  -0.05020501 -0.04924745 -0.04801616
 -0.04652718 -0.04479559 -0.04283641 -0.04066473 -0.03829571 -0.03574452
 -0.03302633 -0.03015635 -0.02714973 -0.02402168 -0.02078736 -0.01746195
 -0.01406064 -0.01059862 -0.00709104 -0.00355311  0.        ]"
"(6.9717840703149605, 0)","(6.9717840703149605, 0.22737644899221543)",[6.06090118 1.        ],[    0 -8789],"[ 0.         -0.01568252 -0.03130065 -0.04679002 -0.06208623 -0.0771249
 -0.09184164 -0.10617207 -0.12005181 -0.13341647 -0.14620166 -0.15834301
 -0.16977611 -0.18043659 -0.19026006 -0.19918212 -0.20713842 -0.21406474
 -0.21989723 -0.22457244 -0.22802624 -0.23018847 -0.2309712  -0.23025249
 -0.22788193 -0.22385214 -0.21862922 -0.2131965  -0.20196882 -0.18876972
 -0.17490648 -0.16028821 -0.1447318  -0.12835135 -0.11127572 -0.09361505
 -0.07547091 -0.05694088 -0.03812144 -0.01910899  0.        ]"
"(6.444952770000646, 0)","(6.444952770000646, 0.3320880194439116)",[6.57926045 1.        ],[    0 -5625],"[ 0.         -0.01022    -0.02040394 -0.03051577 -0.04051944 -0.05037888
 -0.06005804 -0.06952086 -0.0787313  -0.08765329 -0.09625077 -0.1044877
 -0.112328   -0.11973564 -0.12667456 -0.13310874 -0.13900222 -0.14431912
 -0.14902329 -0.15307729 -0.15643946 -0.15905805 -0.16087544 -0.16189505
 -0.16233532 -0.162987   -0.15758098 -0.15029544 -0.14206363 -0.13315201
 -0.12345675 -0.11304079 -0.10200247 -0.09042356 -0.07837563 -0.06592645
 -0.0531428  -0.04009144 -0.02683923 -0.01345309  0.        ]"
"(1.797937644585498, 0)","(1.797937644585498, 0.42921484044673675)",[5.63059572 1.        ],[    0 -6547],"[ 0.         -0.01379726 -0.02754027 -0.0411714  -0.05463232 -0.06788981
 -0.08099174 -0.0942714  -0.10429805 -0.11335948 -0.12178121 -0.12972861
 -0.13710477 -0.1438493  -0.14992203 -0.15527884 -0.15987118 -0.16364882
 -0.16656131 -0.16855781 -0.16958417 -0.16957592 -0.16845097 -0.16612165
 -0.16254874 -0.15778945 -0.15194943 -0.14512876 -0.13740987 -0.12886486
 -0.11956245 -0.10957102 -0.0989592  -0.08779583 -0.07614985 -0.0640902
 -0.05168582 -0.03900567 -0.02611869 -0.01309381  0.        ]"
